OBJECTID,Facility Name,Address,City,State,Zip Code,GLOBALID,x,y
1,Station 39,1247 South Dickerson Rd,Goodlettsvi,TN,37072,eac3496b-ab7d-4f6a-ad14-bf5ada67676a,1750823.90875,713459.428124994
2,Station 31,415 Douglas Ave,Madison,TN,37115,02eb0d96-6a2d-46f0-8c6e-b5f116da0127,1757462.46291667,701725.468958333
3,Station 36,1000 Donelson St,Old Hickory,TN,37138,c7a64605-5809-417b-8cf0-eee80a956583,1777457.94645834,703589.703958333
4,Station 25,2589 Whites Creek Pike,Nashville,TN,37207,2524f01d-752e-4c45-a598-6a5d899fb770,1732083.70229167,686339.967916667
5,Station 01,130 Broadmoor Ave,Nashville,TN,37207,fa10573a-b069-4f65-9663-0c4ecc4e2b0d,1745303.47562499,691044.618125007
6,Station 29,4201 Gallatin Rd,Nashville,TN,37216,c275d6b6-f9a5-48ee-bce3-3e4d1f303abc,1754334.00749999,689034.148333326
7,Station 22,2781 Pennington Bend,Nashville,TN,37214,3ae8b970-76ba-4f48-8f05-610dde07b18a,1765417.79645833,686274.453958333
8,Station 24,3851 Clarksville Hwy,Nashville,TN,37218,1c509921-fef9-4d43-8108-9a4f124982a8,1720369.31458333,681852.530416667
9,Station 18,1151 East Cahal Ave,Nashville,TN,37206,033c5e7b-f7fc-435b-aba2-ca37c2d9ac4d,1750898.30500001,679049.808125004
11,Station 11,1745 18th Ave N,Nashville,TN,37208,a6dc54b4-8690-45d3-928d-0ea611ba3025,1729098.97145833,672895.797083333
12,Station 03,840 Meridian St,Nashville,TN,37207,9c7844fb-4e3e-4780-87e9-0df47d30b888,1741740.46729167,675535.201250002
13,Station 14,1600 Holly St,Nashville,TN,37206,9ab14734-f994-42e8-9183-9c91005a258f,1749508.62,671274.470624998
14,Station 23,6215 Centennial Blvd,Nashville,TN,37209,64e4a0c6-bd18-4312-a5dc-d845541e8686,1714104.00624999,669254.113749996
15,Station 13,410 45th Ave N,Nashville,TN,37209,cdc0b8ca-4940-476c-beae-ba8fecedf903,1720339.66583334,663462.537083328
16,Station 19,520 26th Ave N,Nashville,TN,37209,1ba7bc2f-9df2-45a0-92f0-d7902debd84e,1727639.86875001,664403.359583333
18,Station 09,601 2nd Ave S,Nashville,TN,37201,af0af005-877f-45ce-8760-3955a484d761,1740789.49395834,664001.838125005
19,Station 28,2394 Lebanon Rd,Nashville,TN,37214,152a3eef-ade9-47f8-850c-4c2c6d4c6d28,1766963.68395834,669064.664791673
20,Station 17,3911 West End Ave,Nashville,TN,37205,17d45e33-19d5-4249-bc0f-286efb329b88,1721666.16875,655328.681458339
21,Station 16,2219 21st Ave S,Nashville,TN,37212,de3c5e22-f963-4f4e-be09-09d1d6412837,1731442.67979167,654803.201250002
22,Station 08,2010 12th Ave S,Nashville,TN,37212,b4c4ffdb-fe44-49f4-825a-2f903f151890,1735682.11729167,656123.369166672
23,Station 12,101 Polk Ave,Nashville,TN,37210,763a162f-418a-4733-9a47-39f3f80747fb,1749259.145,658924.183125004
24,Station 07,638 Davidson Rd,Nashville,TN,37205,fb4f3fd0-3edc-470c-b974-5ad684305238,1706516.46729167,650809.259583339
25,Station 20,1626 Harding Place,Nashville,TN,37215,d54cb10a-cba4-433e-a955-9c19913ceab4,1724300.44395833,641124.77229166
26,Station 21,320 Joyner Ave,Nashville,TN,37211,a8762e1e-35d9-4261-b883-ce26b3cd5a78,1747836.09229167,650012.238749996
27,Station 15,1320 Vultee Blvd,Nashville,TN,37217,6697c809-9b36-4424-8e78-e3453bff4dd7,1762492.26166667,652812.766249999
28,Station 34,8350 Highway 70 S,Nashville,TN,37221,0ed70936-c5b6-4344-881f-d8d554feb08b,1678070.85854167,641659.836875007
29,Station 04,5111 Harding Pl,Nashville,TN,37211,3d7e0969-921f-458d-885e-a1137039d0f6,1765481.401875,640142.79291667
30,Station 30,3705 Old Clarksville Pike,Joelton,TN,37080,2356f289-594c-4f6a-a925-e07df7d432a4,1710071.71666667,722891.267291665
31,Station 37,646 Colice Jeanne Rd,Nashville,TN,37138,fc16c182-b70e-42b4-83a5-e383784ccfae,1692582.47541666,634172.62895833
32,Station 27,4720 Trousdale Dr,Nashville,TN,37204,7da4d686-5fd1-4468-879a-06351d1f5cce,1744445.37145834,636027.797083333
33,Station 06,377 Haywood Ln,Nashville,TN,37211,dc3b6b95-e5ae-4ab6-ad7a-25091f1c421b,1756623.91979167,632370.810000002
34,Station 33,2501 Forest View Dr,Antioch,TN,37013,2a20a49a-bacd-437c-ab45-148196c19e7f,1782101.73,631807.962708339
35,Station 10,15530 Old Hickory Blvd,Nashville,TN,37211,d0f9ddc2-c42d-4c70-900f-2a2a658f0fd8,1749662.82291667,622132.526875004
36,Station 26,5410 Hickory Park Dr,Antioch,TN,37013,02623188-6915-445e-bc94-874b994c14cf,1769857.74916667,622090.342291668
37,Station 38,201 Larkin Springs Rd,Madison,TN,37115,e51fd98b-1629-42d3-a56e-c6575a47d234,1766855.21104167,702209.636875004
38,Station 35,2034 Hobson Pike,Hermitage,TN,37013,db3ae60d-02fe-432f-823a-98a5d53b5ecd,1791533.11083333,626193.499583334
39,Station 05,1101 8th Ave S,Nashville,TN,37203,75bc35f6-8b15-4d3f-910b-b3b3bfabf21d,1738456.43645833,659765.495833337
40,Station 41 / Goodlettesville,105 Long Hollow Pike,Goodlettsvi,TN,37072,0b6a5ca3-506e-498a-b417-086288790780,1758845.15020834,724699.236249998
41,Station 32,4248 Andrew Jackson Parkway,Hermitage,TN,37076,6787bcae-e112-4d63-9bdc-922bbc9c3b51,1789110.156875,680457.359999999
45,Station 40,4031 Plantation Dr,Hermitage,TN,37076,d24a3407-8b35-4047-b230-3a70cf172545,1785172.53937501,680140.904791668
